Animal ID,Name_Intake,DateTime_Intake,MonthYear_Intake,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Name_Outcome,DateTime_Outcome,MonthYear_Outcome,Date of Birth,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,Color_Outcome,binary_outcome
A751569,Ebzy,06/09/2017 03:26:00 PM,06/09/2017 03:26:00 PM,12201 Von Quintus in Austin (TX),Stray,Normal,Cat,Intact Female,3 months,Domestic Shorthair Mix,Black,Ebzy,06/19/2017 05:34:00 PM,06/19/2017 05:34:00 PM,02/22/2017,Cat,Intact Female,3 months,Domestic Shorthair Mix,Black,0.0
A742125,*Marcelle,01/15/2017 12:24:00 PM,01/15/2017 12:24:00 PM,1105 Red Cliff Rd in Austin (TX),Stray,Sick,Cat,Intact Male,1 year,Domestic Shorthair Mix,Black/White,*Marcelle,02/04/2017 02:27:00 PM,02/04/2017 02:27:00 PM,01/15/2016,Cat,Intact Male,1 year,Domestic Shorthair Mix,Black/White,0.0
A715769,M. Kiki,11/09/2015 02:41:00 PM,11/09/2015 02:41:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,14 years,Domestic Shorthair Mix,Orange Tabby,M. Kiki,12/10/2015 01:11:00 PM,12/10/2015 01:11:00 PM,11/09/2001,Cat,Neutered Male,14 years,Domestic Shorthair Mix,Orange Tabby,0.0
A719223,Flower,01/15/2016 02:47:00 PM,01/15/2016 02:47:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,11 years,Bombay Mix,Black,Flower,02/15/2016 12:10:00 PM,02/15/2016 12:10:00 PM,01/15/2005,Cat,Spayed Female,11 years,Bombay Mix,Black,0.0
A724757,,04/21/2016 01:53:00 PM,04/21/2016 01:53:00 PM,4510 Richmond Ave in Austin (TX),Stray,Normal,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black Tabby/White,,04/21/2016 05:03:00 PM,04/21/2016 05:03:00 PM,04/06/2016,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black Tabby/White,0.0
A667020,Toby,11/11/2013 12:39:00 PM,11/11/2013 12:39:00 PM,9210 Northgate Blvd in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby/White,Toby,11/30/2013 09:45:00 AM,11/30/2013 09:45:00 AM,09/20/2013,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby/White,0.0
A685509,,08/08/2014 12:46:00 PM,08/08/2014 12:46:00 PM,1512 Koenig Ln in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,White/Orange Tabby,,08/08/2014 06:20:00 PM,08/08/2014 06:20:00 PM,07/17/2014,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,White/Orange Tabby,0.0
A743376,Jack,02/09/2017 12:50:00 PM,02/09/2017 12:50:00 PM,6303 Sam Maverick Pass in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Welsh Springer Spaniel,White/Liver,Jack,02/10/2017 09:19:00 AM,02/10/2017 09:19:00 AM,02/09/2016,Dog,Intact Male,1 year,Welsh Springer Spaniel,White/Liver,0.0
A797747,,06/17/2019 02:04:00 PM,06/17/2019 02:04:00 PM,8625 Fireside Drive in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby,,06/30/2019 06:07:00 PM,06/30/2019 06:07:00 PM,04/17/2019,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby,0.0
A793791,Spider,04/29/2019 06:56:00 PM,04/29/2019 06:56:00 PM,Fiesta Street And Govalle Avenue in Austin (TX),Stray,Normal,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Black,Spider,07/13/2019 03:02:00 PM,07/13/2019 03:02:00 PM,04/20/2019,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,0.0
