Animal_ID,Named,DateTime_Intake,Found_Location,Intake_Type,Intake_Condition,Animal_Type,Sex_upon_Intake,Age_upon_Intake,Breed,Color,DateTime_Outcome,Sex_upon_Outcome,Age_upon_Outcome,binary_outcome,Length_of_Stay,Wild,Younger_than_1_Intake
A815848,N,2020-03-27 18:54:00,Austin (TX),Wildlife,Normal,Bat,Unknown,1.0,Other,Brown,2020-03-27 19:00:00,Unknown,1.0,1.0,0,Y,N
A815835,N,2020-03-27 14:10:00,Austin (TX),Wildlife,Normal,Bat,Unknown,2.0,Other,Brown,2020-03-27 15:12:00,Unknown,2.0,1.0,0,Y,N
A815834,N,2020-03-27 13:48:00,Austin (TX),Wildlife,Normal,Bat,Unknown,2.0,Other,Brown,2020-03-27 15:12:00,Unknown,2.0,1.0,0,Y,N
A815821,N,2020-03-26 23:45:00,Austin (TX),Wildlife,Normal,Bat,Unknown,2.0,Other,Brown,2020-03-27 09:08:00,Unknown,2.0,1.0,0,Y,N
A815816,N,2020-03-26 23:21:00,Austin (TX),Wildlife,Normal,Bat,Unknown,2.0,Other,Brown,2020-03-27 09:05:00,Unknown,2.0,1.0,0,Y,N
A815814,N,2020-03-26 23:05:00,Austin (TX),Wildlife,Normal,Bat,Unknown,2.0,Other,Brown,2020-03-27 08:16:00,Unknown,2.0,1.0,0,Y,N
A815813,N,2020-03-26 16:54:00,Austin (TX),Abandoned,Normal,Dog,Intact Male,3.0,Labrador Retriever Mix,Black,2020-03-26 17:04:00,Intact Male,3.0,0.0,0,N,N
A815799,Y,2020-03-26 14:01:00,Austin (TX),Stray,Injured,Cat,Intact Male,2.0,Domestic Medium Hair,Other,2020-03-27 13:16:00,Intact Male,2.0,0.0,0,N,N
A815792,N,2020-03-26 12:45:00,Austin (TX),Wildlife,Normal,Bat,Unknown,1.0,Other,Brown,2020-03-26 14:16:00,Unknown,1.0,1.0,0,Y,N
A815791,N,2020-03-26 12:03:00,Austin (TX),Wildlife,Normal,Bat,Unknown,2.0,Other,Brown,2020-03-26 14:14:00,Unknown,2.0,1.0,0,Y,N
A815789,Y,2020-03-26 10:43:00,Austin (TX),Stray,Normal,Dog,Spayed Female,1.0,Other,Black/White,2020-03-26 13:05:00,Spayed Female,1.0,0.0,0,N,N
A815787,N,2020-03-26 10:04:00,Austin (TX),Wildlife,Normal,Bat,Unknown,0.4166666666666667,Other,Other,2020-03-27 08:58:00,Unknown,0.5,1.0,0,Y,Y
A815779,N,2020-03-26 01:30:00,Austin (TX),Wildlife,Normal,Bat,Unknown,2.0,Other,Brown,2020-03-26 08:17:00,Unknown,2.0,1.0,0,Y,N
A815776,N,2020-03-25 22:47:00,Austin (TX),Wildlife,Normal,Bat,Unknown,2.0,Other,Brown,2020-03-26 09:02:00,Unknown,2.0,1.0,0,Y,N
A815773,N,2020-03-25 17:18:00,Lakeway (TX),Wildlife,Normal,Bat,Unknown,1.0,Other,Brown,2020-03-25 17:40:00,Unknown,1.0,1.0,0,Y,N
A815771,N,2020-03-25 23:19:00,Austin (TX),Wildlife,Normal,Bat,Unknown,2.0,Other,Brown,2020-03-26 08:16:00,Unknown,2.0,1.0,0,Y,N
A815768,N,2020-03-25 15:08:00,Austin (TX),Wildlife,Normal,Bat,Unknown,2.0,Other,Black/Brown,2020-03-25 15:20:00,Unknown,2.0,1.0,0,Y,N
A815767,N,2020-03-25 14:46:00,Austin (TX),Wildlife,Sick,Bat,Unknown,2.0,Other,Brown,2020-03-25 15:03:00,Unknown,2.0,1.0,0,Y,N
A815765,N,2020-03-25 13:30:00,Austin (TX),Stray,Injured,Cat,Intact Male,2.0,Domestic Shorthair,Brown Tabby,2020-03-27 09:52:00,Intact Male,2.0,1.0,1,N,N
A815763,N,2020-03-25 13:10:00,Travis (TX),Stray,Sick,Dog,Intact Female,2.0,Chihuahua Shorthair,White/Tan,2020-03-26 17:44:00,Intact Female,2.0,0.0,1,N,N
A815762,N,2020-03-25 11:24:00,Austin (TX),Wildlife,Sick,Fox,Unknown,1.0,Other,Brown,2020-03-25 11:51:00,Unknown,1.0,1.0,0,Y,N
A815754,N,2020-03-24 21:02:00,Austin (TX),Wildlife,Normal,Bat,Unknown,1.0,Other,Brown,2020-03-25 07:52:00,Unknown,1.0,1.0,0,Y,N
A815753,N,2020-03-24 21:00:00,Austin (TX),Wildlife,Normal,Bat,Unknown,1.0,Other,Brown,2020-03-25 07:50:00,Unknown,1.0,1.0,0,Y,N
A815750,N,2020-03-24 17:55:00,Austin (TX),Wildlife,Sick,Raccoon,Unknown,1.0,Other,Black/Brown,2020-03-24 18:54:00,Unknown,1.0,1.0,0,Y,N
A815749,N,2020-03-24 17:45:00,Austin (TX),Wildlife,Injured,Bat,Unknown,1.0,Other,Brown,2020-03-24 18:52:00,Unknown,1.0,1.0,0,Y,N
