Animal_ID,Named,DateTime_Intake,Found_Location,Intake_Type,Intake_Condition,Animal_Type,Sex_upon_Intake,Age_upon_Intake,Breed,Color,DateTime_Outcome,Sex_upon_Outcome,Age_upon_Outcome,binary_outcome,Length_of_Stay,Wild,Younger_than_1_Intake
A751569,Y,2017-06-09 15:26:00,Austin (TX),Stray,Normal,Cat,Intact Female,0.25,Domestic Shorthair,Black,2017-06-19 17:34:00,Intact Female,0.25,0.0,10,N,Y
A742125,Y,2017-01-15 12:24:00,Austin (TX),Stray,Sick,Cat,Intact Male,1.0,Domestic Shorthair,Black/White,2017-02-04 14:27:00,Intact Male,1.0,0.0,20,N,N
A715769,Y,2015-11-09 14:41:00,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,14.0,Domestic Shorthair,Orange Tabby,2015-12-10 13:11:00,Neutered Male,14.0,0.0,30,N,N
A719223,Y,2016-01-15 14:47:00,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,11.0,Other,Black,2016-02-15 12:10:00,Spayed Female,11.0,0.0,30,N,N
A724757,N,2016-04-21 13:53:00,Austin (TX),Stray,Normal,Cat,Unknown,0.038461538461538464,Domestic Shorthair,Other,2016-04-21 17:03:00,Unknown,0.038461538461538464,0.0,0,N,Y
A667020,Y,2013-11-11 12:39:00,Austin (TX),Stray,Normal,Cat,Intact Male,0.08333333333333333,Domestic Shorthair,White/Orange Tabby,2013-11-30 09:45:00,Intact Male,0.16666666666666666,0.0,18,N,Y
A685509,N,2014-08-08 12:46:00,Austin (TX),Stray,Normal,Cat,Intact Male,0.0576923076923077,Domestic Shorthair,White/Orange Tabby,2014-08-08 18:20:00,Intact Male,0.0576923076923077,0.0,0,N,Y
A743376,Y,2017-02-09 12:50:00,Austin (TX),Stray,Normal,Dog,Intact Male,1.0,Other,Other,2017-02-10 09:19:00,Intact Male,1.0,0.0,0,N,N
A797747,N,2019-06-17 14:04:00,Austin (TX),Stray,Normal,Cat,Intact Male,0.08333333333333333,Domestic Shorthair,Brown Tabby,2019-06-30 18:07:00,Intact Male,0.16666666666666666,0.0,13,N,Y
A793791,Y,2019-04-29 18:56:00,Austin (TX),Stray,Normal,Cat,Intact Male,0.019230769230769232,Domestic Shorthair,Black,2019-07-13 15:02:00,Neutered Male,0.16666666666666666,0.0,74,N,Y
A714978,Y,2015-10-29 17:07:00,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,0.08333333333333333,Domestic Shorthair,Black/White,2015-12-12 15:00:00,Spayed Female,0.25,0.0,43,N,Y
A712266,N,2015-09-20 00:44:00,Austin (TX),Wildlife,Normal,Bat,Unknown,0.07692307692307693,Other,Black/Brown,2015-09-20 07:57:00,Unknown,0.07692307692307693,1.0,0,Y,Y
A717291,N,2015-12-05 14:22:00,Austin (TX),Stray,Normal,Cat,Intact Female,0.6666666666666666,Domestic Shorthair,Brown Tabby,2015-12-09 19:39:00,Spayed Female,0.6666666666666666,0.0,4,N,Y
A787374,N,2019-01-11 18:45:00,Austin (TX),Stray,Normal,Cat,Unknown,0.038461538461538464,Domestic Shorthair,Other,2019-01-12 08:09:00,Unknown,0.038461538461538464,0.0,0,N,Y
A753602,Y,2017-07-08 14:59:00,Travis (TX),Stray,Normal,Dog,Intact Male,2.0,Pit Bull Mix,Blue/White,2017-07-28 10:31:00,Neutered Male,2.0,0.0,19,N,N
A809737,Y,2019-11-30 13:28:00,Travis (TX),Owner Surrender,Normal,Guinea Pig,Intact Male,3.0,Other,Calico,2019-12-04 12:21:00,Intact Male,3.0,0.0,3,N,N
A773602,N,2018-06-03 12:46:00,Austin (TX),Wildlife,Sick,Raccoon,Unknown,3.0,Other,Other,2018-06-03 13:31:00,Unknown,3.0,1.0,0,Y,N
A720902,N,2016-02-17 13:05:00,Austin (TX),Stray,Normal,Dog,Intact Female,0.16666666666666666,Chihuahua Shorthair Mix,Brown,2016-02-21 17:42:00,Spayed Female,0.16666666666666666,0.0,4,N,Y
A781907,N,2018-10-07 16:51:00,Austin (TX),Stray,Nursing,Cat,Intact Female,0.038461538461538464,Domestic Shorthair,Blue Tabby,2018-10-07 17:05:00,Intact Female,0.038461538461538464,0.0,0,N,Y
A723843,Y,2016-04-18 18:26:00,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,13.0,Other,Brown Tabby,2016-05-22 18:00:00,Neutered Male,13.0,0.0,33,N,N
A798886,Y,2019-07-01 16:28:00,Austin (TX),Stray,Normal,Dog,Intact Male,2.0,Pit Bull,Blue/White,2019-07-08 17:44:00,Neutered Male,2.0,0.0,7,N,N
A736938,N,2016-10-19 15:25:00,Austin (TX),Stray,Normal,Cat,Intact Female,1.0,Domestic Shorthair,Other,2016-10-20 09:00:00,Spayed Female,1.0,0.0,0,N,N
A722475,N,2016-03-17 13:25:00,Austin (TX),Stray,Normal,Cat,Intact Male,2.0,Domestic Longhair,Brown Tabby,2016-03-17 15:05:00,Intact Male,2.0,1.0,0,N,N
A794038,N,2019-05-03 12:15:00,Austin (TX),Stray,Normal,Cat,Intact Male,0.07692307692307693,Domestic Medium Hair,Blue Tabby,2019-05-05 19:35:00,Intact Male,0.07692307692307693,0.0,2,N,Y
A694312,N,2014-12-25 12:31:00,Austin (TX),Stray,Normal,Dog,Intact Female,0.0,Pit Bull Mix,White/Chocolate,2014-12-27 12:12:00,Intact Female,0.0054794520547945215,0.0,1,N,Y
A753741,Y,2017-07-10 13:52:00,Austin (TX),Stray,Normal,Dog,Spayed Female,5.0,Chihuahua Shorthair Mix,Black/Brown,2017-07-17 15:53:00,Spayed Female,5.0,0.0,7,N,N
A799446,N,2019-07-08 17:03:00,Austin (TX),Stray,Nursing,Cat,Intact Male,0.07692307692307693,Domestic Shorthair,Black,2019-09-20 09:23:00,Neutered Male,0.25,0.0,73,N,Y
A666219,Y,2013-10-29 00:02:00,Austin (TX),Stray,Normal,Dog,Intact Male,0.5,Labrador Retriever Mix,Black/White,2013-12-16 14:29:00,Neutered Male,0.6666666666666666,0.0,48,N,Y
A689443,N,2014-10-04 11:14:00,Austin (TX),Stray,Normal,Dog,Intact Female,0.08333333333333333,Other,Black/Tan,2014-10-09 17:29:00,Spayed Female,0.16666666666666666,0.0,5,N,Y
A675619,Y,2014-03-30 11:49:00,Austin (TX),Stray,Normal,Dog,Intact Male,2.0,Chihuahua Shorthair Mix,White/Chocolate,2014-04-05 17:48:00,Neutered Male,2.0,0.0,6,N,N
